T,X,Y,Z
5.9131642545626273e+04,-4.8321552865845889e+08,3.7474113875829715e+08,0.0000000000000000e+00
5.9136642684519014e+04,-4.8326529276095182e+08,3.7475556406074262e+08,0.0000000000000000e+00
5.9141642823411770e+04,-4.8331505485960943e+08,3.7476998780928391e+08,0.0000000000000000e+00
5.9146642962304511e+04,-4.8336481495470423e+08,3.7478441000423008e+08,0.0000000000000000e+00
5.9151643101197267e+04,-4.8341457304650009e+08,3.7479883064588743e+08,0.0000000000000000e+00
5.9156643240090008e+04,-4.8346432913526434e+08,3.7481324973456293e+08,0.0000000000000000e+00
5.9161643378982750e+04,-4.8351408322126049e+08,3.7482766727056283e+08,0.0000000000000000e+00
5.9166643517875498e+04,-4.8356383530476117e+08,3.7484208325419575e+08,0.0000000000000000e+00
5.9171643656768239e+04,-4.8361358538603055e+08,3.7485649768576741e+08,0.0000000000000000e+00
5.9176643795660995e+04,-4.8366333346533501e+08,3.7487091056558478e+08,0.0000000000000000e+00
5.9181643934553736e+04,-4.8371307954293883e+08,3.7488532189395380e+08,0.0000000000000000e+00
5.9186644073446492e+04,-4.8376282361911386e+08,3.7489973167118227e+08,0.0000000000000000e+00
5.9191644212339233e+04,-4.8381256569412392e+08,3.7491413989757591e+08,0.0000000000000000e+00
5.9196644351231989e+04,-4.8386230576823550e+08,3.7492854657344115e+08,0.0000000000000000e+00
5.9201644490124731e+04,-4.8391204384171122e+08,3.7494295169908303e+08,0.0000000000000000e+00
5.9206644629017472e+04,-4.8396177991482574e+08,3.7495735527481025e+08,0.0000000000000000e+00
5.9211644767910220e+04,-4.8401151398783904e+08,3.7497175730092698e+08,0.0000000000000000e+00
5.9216644906802961e+04,-4.8406124606102067e+08,3.7498615777774018e+08,0.0000000000000000e+00
5.9221645045695717e+04,-4.8411097613463128e+08,3.7500055670555389e+08,0.0000000000000000e+00
5.9226645184588459e+04,-4.8416070420894313e+08,3.7501495408467585e+08,0.0000000000000000e+00
5.9231645323481214e+04,-4.8421043028422147e+08,3.7502934991541147e+08,0.0000000000000000e+00
5.9236645462373956e+04,-4.8426015436072963e+08,3.7504374419806558e+08,0.0000000000000000e+00
5.9241645601266711e+04,-4.8430987643873417e+08,3.7505813693294376e+08,0.0000000000000000e+00
5.9246645740159453e+04,-4.8435959651849961e+08,3.7507252812035114e+08,0.0000000000000000e+00
5.9251645879052208e+04,-4.8440931460029644e+08,3.7508691776059437e+08,0.0000000000000000e+00
5.9256646017944950e+04,-4.8445903068438661e+08,3.7510130585397732e+08,0.0000000000000000e+00
5.9261646156837691e+04,-4.8450874477103406e+08,3.7511569240080488e+08,0.0000000000000000e+00
5.9266646295730439e+04,-4.8455845686050999e+08,3.7513007740138358e+08,0.0000000000000000e+00
5.9271646434623181e+04,-4.8460816695307618e+08,3.7514446085601717e+08,0.0000000000000000e+00
5.9276646573515936e+04,-4.8465787504899943e+08,3.7515884276501101e+08,0.0000000000000000e+00
5.9281646712408678e+04,-4.8470758114854193e+08,3.7517322312866867e+08,0.0000000000000000e+00
5.9286646851301433e+04,-4.8475728525197339e+08,3.7518760194729608e+08,0.0000000000000000e+00
5.9291646990194175e+04,-4.8480698735955817e+08,3.7520197922119766e+08,0.0000000000000000e+00
5.9296647129086930e+04,-4.8485668747156030e+08,3.7521635495067757e+08,0.0000000000000000e+00
5.9301647267979672e+04,-4.8490638558824420e+08,3.7523072913603950e+08,0.0000000000000000e+00
5.9306647406872413e+04,-4.8495608170987529e+08,3.7524510177758813e+08,0.0000000000000000e+00
5.9311647545765161e+04,-4.8500577583672035e+08,3.7525947287562811e+08,0.0000000000000000e+00
5.9316647684657903e+04,-4.8505546796904361e+08,3.7527384243046319e+08,0.0000000000000000e+00
