ID,X,Y,Z,VX,VY,VZ,PART,MASS,RHO,RHO_0,P,E,HSML
2235,-2.7091797840356827e+04,6.0596272844314575e+04,-1.4621897746845818e+05,-1.1105409742249321e+01,-3.6108997745307079e+00,4.1834139666146863e-01,1,1.0051851163000000e+16,9.0946099723999998e+02,9.1700000000000000e+02,1.3382846935000001e+06,2.1710950672000000e+05,2.5000000000000000e+04
2236,-4.4794640840291977e+04,7.2428916844248772e+04,-1.5371833561845816e+05,-1.3075768502249957e+01,-6.5011391245305958e+00,5.9024975546146874e-01,1,1.0051851163000000e+16,9.0942012323999995e+02,9.1700000000000000e+02,8.8882782238999999e+05,2.1702410047999999e+05,2.5000000000000000e+04
2237,-6.0153091840267181e+04,8.7329081844329834e+04,-1.4712752916845819e+05,-1.5533298312249826e+01,-9.0820114045307037e+00,7.8178900986146860e-01,1,1.0051851163000000e+16,9.0940083551999999e+02,9.1700000000000000e+02,7.6834071531000000e+05,2.1723830333000000e+05,2.5000000000000000e+04
2238,-6.1577343840360641e+04,1.3328269284427166e+05,-1.2392911789845818e+05,-2.3139363452249199e+01,-9.6012297445306558e+00,1.0731677946614686e+00,1,1.0051851163000000e+16,9.0932021627999995e+02,9.1700000000000000e+02,5.0094472733999998e+05,2.1878999901999999e+05,2.5000000000000000e+04
2239,1.9270504015970230e+05,2.9337378443479538e+03,-8.4599999738458166e+04,-1.3298959922494760e+00,3.2505361265469332e+01,-1.9244043677685314e+00,1,1.0051851163000000e+16,9.0895433011000000e+02,9.1700000000000000e+02,6.7874806634000002e+05,2.2970233942000000e+05,2.5000000000000000e+04
2240,1.4061017215967178e+05,3.0055554844260216e+04,-2.8467954038458178e+04,-5.7016748022497268e+00,2.3263589605469292e+01,-1.1532395180065314e+00,1,1.0051851163000000e+16,8.9673124411000003e+02,9.1700000000000000e+02,4.1439408001000001e+06,5.9080852462000004e+05,2.5000000000000000e+04
2241,2.6432825159788132e+04,-2.1541531315565109e+05,-1.6489004228458187e+04,3.4899550097750762e+01,4.4903149454693221e+00,-2.4254345428385315e+00,1,1.0051851163000000e+16,9.0901489452999999e+02,9.1700000000000000e+02,5.4067970238000003e+05,2.2759344506999999e+05,2.5000000000000000e+04
2242,6.4184197159767151e+04,1.4605692684435844e+05,8.4742361881541845e+04,-2.3630995702249493e+01,9.9246012154693517e+00,3.9249653086146874e-01,1,1.0051851163000000e+16,9.0935044261999997e+02,9.1700000000000000e+02,1.8453504798999999e+06,2.2166607638000001e+05,2.5000000000000000e+04
2243,2.8821636159658432e+04,1.3019934284424782e+05,1.0410346929154184e+05,-2.0634549702249387e+01,3.8376360354692451e+00,7.2617111616146857e-01,1,1.0051851163000000e+16,9.0947153498000000e+02,9.1700000000000000e+02,2.6279030715000001e+06,2.2039304498999999e+05,2.5000000000000000e+04
2244,6.2394008159637451e+04,1.0192651984429359e+05,1.2550817980154185e+05,-1.5584912572249777e+01,9.2943197454693518e+00,7.5819125261468612e-02,1,1.0051851163000000e+16,9.0947819053000001e+02,9.1700000000000000e+02,1.8281849704000000e+06,2.1798130312999999e+05,2.5000000000000000e+04
2245,7.9414965159654617e+04,1.0152229684424400e+05,1.0783509810154181e+05,-1.5721141082249233e+01,1.2279980695469362e+01,-1.1676966245853138e-01,1,1.0051851163000000e+16,9.0940007008999999e+02,9.1700000000000000e+02,1.4379282633000000e+06,2.1912080304000000e+05,2.5000000000000000e+04
2246,9.8866532159805298e+04,1.1356447984433174e+05,9.7346591451541812e+04,-1.7916881692249262e+01,1.5612625675469303e+01,-2.8200221811853132e-01,1,1.0051851163000000e+16,9.0940350955999997e+02,9.1700000000000000e+02,1.2773845023000001e+06,2.1857674148999999e+05,2.5000000000000000e+04
2247,1.0103789915966988e+05,1.0328516084432602e+05,8.7709346751541831e+04,-1.6301466992249516e+01,1.6085301685469290e+01,-4.1524776746853131e-01,1,1.0051851163000000e+16,9.0938376758000004e+02,9.1700000000000000e+02,1.1977231497000000e+06,2.1891736533000000e+05,2.5000000000000000e+04
2248,1.1809795315980911e+05,9.2047864844322205e+04,6.6796100901541824e+04,-1.4661525102249470e+01,1.9091150005469331e+01,-6.8403815474853136e-01,1,1.0051851163000000e+16,9.0936847330000001e+02,9.1700000000000000e+02,1.6294144164000000e+06,2.2055252822000001e+05,2.5000000000000000e+04
